错误码,中文描述,说明,变量名,状态码,消息
A0223,用户未获得第三方登录授权,,ThirdPartyLoginUnauthorized,401,Third Party Login Unauthorized
A0230,用户登录已过期,,LoginExpired,401,Login Expired
A0240,用户验证码错误,,WrongCaptcha,400,Wrong Captcha
A0241,用户验证码尝试次数超限,,TooManyWrongCaptcha,403,Too Many Wrong Captcha
A0300,访问权限异常,二级宏观错误码,AccessRightAbnormal,400,Access Right Abnormal
A0301,访问未授权,,AccessUnauthorized,401,Access Unauthorized
A0302,正在授权中,,Authorizing,401,Authorizing
A0303,用户授权申请被拒绝,,AuthorizationDenied,403,Authorization Denied
A0310,因访问对象隐私设置被拦截,,AccessRestrictedPrivacy,403,Access Restricted Privacy
A0311,授权已过期,,AuthorizationExpired,401,Authorization Expired
A0312,无权限使用API,,APIForbidden,403,API Forbidden
A0320,用户访问被拦截,,AccessDenied,403,Access Denied
A0321,黑名单用户,,BlacklistUser,403,Blacklist User
A0322,账号被冻结,,AccountFrozen,403,Account Frozen
A0323,非法IP地址,,IllegalIP,403,Illegal IP
A0324,网关访问受限,,GatewayAccessRestricted,403,Gateway Access Restricted
A0325,地域黑名单,,BlacklistArea,403,Blacklist Area
A0330,服务已欠费,,OutOfCredit,400,Out Of Credit
A0340,用户签名异常,,SignatureAbnormal,400,Signature Abnormal
A0341,RSA签名错误,,RSASignatureAbnormal,400,RSA Signature Abnormal
A0400,用户请求参数错误,二级宏观错误码,WrongParam,400,Wrong Param
A0401,包含非法恶意跳转链接,,MaliciousLinkFound,400,Malicious Link Found
A0402,无效的用户输入,,InvalidInput,400,Invalid Input
A0410,请求必填参数为空,,RequiredParamEmpty,400,Required Param Empty
A0411,用户订单号为空,,OrderNumEmpty,400,Order Num Empty
A0412,订购数量为空,,OrderQuantityEmpty,400,Order Quantity Empty
A0413,缺少时间戳参数,,TimeParamEmpty,400,Time Param Empty
A0414,非法的时间戳参数,,IllegalTimeParam,400,Illegal Time Param
A0420,请求参数值超出允许的范围,,ParamOutOfRange,400,Param Out Of Range
A0421,参数格式不匹配,,ParamFormatUnexpected,400,Param Format Unexpected
A0422,地址不在服务范围,,AddressOutOfRange,400,Address Out Of Range
A0423,时间不在服务范围,,TimeOutOfRange,400,Time Out Of Range
A0424,金额超出限制,,AmountOutOfRange,400,Amount Out Of Range
A0425,数量超出限制,,NumberOutOfRange,400,Number Out Of Range
A0426,请求批量处理总个数超出限制,,TotalBatchOutOfRange,400,Total Batch Out Of Range
A0427,请求JSON解析失败,,JSONParseErr,400,JSON Parse Err
A0430,用户输入内容非法,,IllegalContent,400,Illegal Content
A0431,包含违禁敏感词,,IllegalWord,400,Illegal Word
A0432,图片包含违禁信息,,IllegalPicture,400,Illegal Picture
A0433,文件侵犯版权,,CopyrightInfringement,400,Copyright Infringement
A0440,用户操作异常,,OperationAbnormal,400,Operation Abnormal
A0441,用户支付超时,,PaymentOvertime,400,Payment Overtime
A0442,确认订单超时,,OrderConfirmationOvertime,400,Order Confirmation Overtime
A0443,订单已关闭,,OrderCancelled,400,Order Cancelled
A0500,用户请求服务异常,二级宏观错误码,UserRequestAbnormal,400,User Request Abnormal
A0501,请求次数超出限制,,TooManyRequests,429,Too Many Requests
A0502,请求并发数超出限制,,TooManyRequestConcurrency,429,Too Many Request Concurrency
A0503,用户操作请等待,,OperationWait,400,Operation Wait
A0504,WebSocket连接异常,,WebsocketConnAbnormal,400,Websocket Conn Abnormal
A0505,WebSocket连接断开,,WebsocketDisconnected,400,Websocket Disconnected
A0506,用户重复请求,,DuplicateRequest,400,Duplicate Request
A0600,用户资源异常,二级宏观错误码,UserResourceAbnormal,400,User Resource Abnormal
A0601,账户余额不足,,InsufficientBalance,400,Insufficient Balance
A0602,用户磁盘空间不足,,InsufficientDisk,400,Insufficient Disk
A0603,用户内存空间不足,,InsufficientRAM,400,Insufficient RAM
A0604,用户OSS容量不足,,InsufficientOSSSpace,400,Insufficient OSS Space
A0605,用户配额已用光,蚂蚁森林浇水数或每天抽奖数,OutOfQuota,400,Out Of Quota
A0700,用户上传文件异常,二级宏观错误码,FileUploadAbnormal,400,File Upload Abnormal
A0701,用户上传文件类型不匹配,,UnexpectedFileType,400,Unexpected File Type
A0702,用户上传文件太大,,FileTooLarge,413,File Too Large
A0703,用户上传图片太大,,PictureTooLarge,413,Picture Too Large
A0704,用户上传视频太大,,VideoTooLarge,413,Video Too Large
A0705,用户上传压缩文件太大,,CompressedFileTooLarge,413,Compressed File Too Large
A0800,用户当前版本异常,二级宏观错误码,VersionAbnormal,400,Version Abnormal
A0801,用户安装版本与系统不匹配,,VersionMismatched,400,Version Mismatched
A0802,用户安装版本过低,,VersionTooLow,400,Version Too Low
A0803,用户安装版本过高,,VersionTooHigh,400,Version Too High
A0804,用户安装版本已过期,,VersionOutdated,400,Version Outdated
A0805,用户API请求版本不匹配,,UnexpectedAPIVersion,400,Unexpected API Version
A0806,用户API请求版本过高,,APIVersionTooHigh,400,API Version Too High
A0807,用户API请求版本过低,,APIVersionTooLow,400,API Version Too Low
A0900,用户隐私未授权,二级宏观错误码,UserPrivacyUnauthorized,401,User Privacy Unauthorized
A0901,用户隐私未签署,,UserPrivacyUnsigned,401,User Privacy Unsigned
A0902,用户摄像头未授权,,WebcamUnauthorized,401,Webcam Unauthorized
A0903,用户相机未授权,,CameraUnauthorized,401,Camera Unauthorized
A0904,用户图片库未授权,,AlbumUnauthorized,401,Album Unauthorized
A0905,用户文件未授权,,FileUnauthorized,401,File Unauthorized
A0906,用户位置信息未授权,,LocationUnauthorized,401,Location Unauthorized
A0907,用户通讯录未授权,,ContactsUnauthorized,401,Contacts Unauthorized
A1000,用户设备异常,二级宏观错误码,UserDeviceAbnormal,400,User Device Abnormal
A1001,用户相机异常,,CameraAbnormal,400,Camera Abnormal
A1002,用户麦克风异常,,MicrophoneAbnormal,400,Microphone Abnormal
A1003,用户听筒异常,,ReceiverAbnormal,400,Receiver Abnormal
A1004,用户扬声器异常,,SpeakerAbnormal,400,Speaker Abnormal
A1005,用户GPS定位异常,,GPSAbnormal,400,GPS Abnormal
B0001,系统执行出错,一级宏观错误码,SystemErr,500,System Err
B0100,系统执行超时,二级宏观错误码,SystemExecTimeout,500,System Exec Timeout
B0101,系统订单处理超时,,OrderProcessTimeout,500,Order Process Timeout
B0200,系统容灾功能被触发,二级宏观错误码,DisasterRecovery,503,Disaster Recovery
B0210,系统限流,,SystemRateLimited,503,System Rate Limited
B0220,系统功能降级,,SystemFunctionDowngrade,503,System Function Downgrade
B0300,系统资源异常,二级宏观错误码,SystemResourceAbnormal,500,System Resource Abnormal
B0310,系统资源耗尽,,SystemResourceExhausted,500,System Resource Exhausted
B0311,系统磁盘空间耗尽,,DiskSpaceExhausted,500,Disk Space Exhausted
B0312,系统内存耗尽,,RAMExhausted,500,RAM Exhausted
B0313,文件句柄耗尽,,FileHandleExhausted,500,File Handle Exhausted
B0314,系统连接池耗尽,,ConnPoolExhausted,500,Conn Pool Exhausted
B0315,系统线程池耗尽,,ThreadPoolExhausted,500,Thread Pool Exhausted
B0320,系统资源访问异常,,SystemResourceAccessAbnormal,500,System Resource Access Abnormal
B0321,系统读取磁盘文件失败,,FileAccessErr,500,File Access Err
C0001,调用第三方服务出错,一级宏观错误码,ThirdPartyErr,500,Third Party Err
C0100,中间件服务出错,二级宏观错误码,MiddlewareServiceErr,500,Middleware Service Err
C0110,RPC服务出错,,RPCServiceErr,500,RPC Service Err
C0111,RPC服务未找到,,RPCServiceNotFound,500,RPC Service Not Found
C0112,RPC服务未注册,,RPCServiceNotRegistered,500,RPC Service Not Registered
C0113,接口不存在,,InterfaceNotFound,500,Interface Not Found
C0120,消息服务出错,,MQServiceErr,500,MQ Service Err
C0121,消息投递出错,,MQDeliveryErr,500,MQ Delivery Err
C0122,消息消费出错,,MQConsumptionErr,500,MQ Consumption Err
C0123,消息订阅出错,,MQSubscriptionErr,500,MQ Subscription Err
C0124,消息分组未查到,,MQGroupNotFound,500,MQ Group Not Found
C0130,缓存服务出错,,CacheServiceErr,500,Cache Service Err
C0131,key长度超过限制,,CacheKeyLengthTooLong,500,Cache Key Length Too Long
C0132,value长度超过限制,,CacheValueLengthTooLong,500,Cache Value Length Too Long
C0133,存储容量已满,,FullCacheStorage,500,Full Cache Storage
C0134,不支持的数据格式,,UnsupportedCacheDataFormat,500,Unsupported Cache Data Format
C0140,配置服务出错,,ConfigServiceErr,500,Config Service Err
C0150,网络资源服务出错,,NetworkServiceErr,500,Network Service Err
C0151,VPN服务出错,,VPNServiceErr,500,VPN Service Err
C0152,CDN服务出错,,CDNServiceErr,500,CDN Service Err
C0153,域名解析服务出错,,DNSServiceErr,500,DNS Service Err
C0154,网关服务出错,,GatewayServiceErr,500,Gateway Service Err
C0200,第三方系统执行超时,二级宏观错误码,ThirdPartyServiceTimeout,500,Third Party Service Timeout
C0210,RPC执行超时,,RPCServiceTimeout,500,RPC Service Timeout
C0220,消息投递超时,,MQDeliveryTimeout,500,MQ Delivery Timeout
C0230,缓存服务超时,,CacheServiceTimeout,500,Cache Service Timeout
C0240,配置服务超时,,ConfigServiceTimeout,500,Config Service Timeout
C0250,数据库服务超时,,DatabaseServiceTimeout,500,Database Service Timeout
C0300,数据库服务出错,二级宏观错误码,DatabaseServiceErr,500,Database Service Err
C0311,表不存在,,DBTableNotFound,500,DB Table Not Found
C0312,列不存在,,DBColumnNotFound,500,DB Column Not Found
C0321,多表关联中存在多个相同名称的列,,DuplicateColumnJoined,500,Duplicate Column Joined
C0331,数据库死锁,,DBDeadlock,500,DB Deadlock
C0341,主键冲突,,DBPrimaryKeyConflict,500,DB Primary Key Conflict
C0400,第三方容灾系统被触发,二级宏观错误码,ThirdPartyDisasterRecovery,500,Third Party Disaster Recovery
C0401,第三方系统限流,,ThirdPartyRateLimited,500,Third Party Rate Limited
C0402,第三方功能降级,,ThirdPartyFunctionDowngrade,500,Third Party Function Downgrade
C0500,通知服务出错,二级宏观错误码,NotificationServiceErr,500,Notification Service Err
C0501,短信提醒服务失败,,SMSNotificationServiceErr,500,SMS Notification Service Err
C0502,语音提醒服务失败,,VoiceNotificationServiceErr,500,Voice Notification Service Err
C0503,邮件提醒服务失败,,EmailNotificationServiceErr,500,Email Notification Service Err
